group,weight,height,Energy,Protein,Total_Fat,Omega3,Omega6,Total_Carbohydrate,Dietary_Fiber,Water,VA,VD,VE,VK,VB1,VB2,VB3,VB5,VB6,VB9,VB12,VB7,VB4,VC,Ca,P,Mg,Fe,I,Zn,Se,Mn,F,Cr,K,Na,Cl,Cu
0to5mo,6,60,550,9,31,0.5,4.4,59,0,700,375,10,4,5,0.2,0.3,2,1.7,0.1,80,0.4,5,125,40,200,100,30,0.3,90,1.1,7,0,0.01,0.2,400,120,180,200
6to11mo,9,72,800,15,35,0.5,4.4,105,11,900,400,10,5,10,0.3,0.4,4,1.8,0.3,80,1.5,6,150,50,270,275,55,11,120,3,10,0.7,0.5,6,700,370,570,220
1to3y,13,92,1350,20,45,0.7,7,215,19,1150,400,15,6,15,0.5,0.5,6,2,0.5,160,1.5,8,200,40,650,460,65,7,90,3,18,1.2,0.7,14,2600,800,1200,340
4to6y,19,113,1400,25,50,0.9,10,220,20,1450,450,15,7,20,0.6,0.6,8,3,0.6,200,1.5,12,250,45,1000,500,95,10,120,5,21,1.5,1,16,2700,900,1300,440
7to9y,27,130,1650,40,55,0.9,10,250,23,1650,500,15,8,25,0.9,0.9,10,4,1,300,2,12,375,45,1000,500,135,10,120,5,22,1.7,1.4,21,3200,1000,1500,570
male_10to12y,36,145,2000,50,65,1.2,12,300,28,1850,600,15,11,35,1.1,1.3,12,5,1.3,400,3.5,20,375,50,1200,1250,160,8,120,8,22,1.9,1.8,28,3900,1300,1900,700
male_13to15y,50,163,2400,70,80,1.6,16,350,34,2100,600,15,15,55,1.2,1.3,16,5,1.3,400,4,25,550,75,1200,1250,225,11,150,11,30,2.2,2.5,36,4800,1500,2300,795
male_16to18y,60,168,2650,75,85,1.6,16,400,37,2300,700,15,15,55,1.2,1.3,16,5,1.3,400,4,30,550,90,1200,1250,270,11,150,11,36,2.3,4,41,5300,1700,2500,890
male_19to29y,60,168,2650,65,75,1.6,17,430,37,2500,650,15,15,65,1.2,1.3,16,5,1.3,400,4,30,550,90,1000,700,360,9,150,11,30,2.3,4,36,4700,1500,2250,900
male_30to49y,60,166,2550,65,70,1.6,17,415,36,2500,650,15,15,65,1.2,1.3,16,5,1.3,400,4,30,550,90,1000,700,360,9,150,11,30,2.3,4,34,4700,1500,2250,900
male_50to64y,60,166,2150,65,60,1.6,14,340,30,2500,650,15,15,65,1.2,1.3,16,5,1.7,400,4,30,550,90,1200,700,360,9,150,11,30,2.3,4,29,4700,1300,2100,900
male_65to80y,58,164,1800,64,50,1.6,14,275,25,1800,650,20,15,65,1.2,1.3,16,5,1.7,400,4,30,550,90,1200,700,350,9,150,11,29,2.3,4,24,4700,1100,1900,900
male_80y_plus,54,164,1600,64,45,1.6,14,235,22,1600,650,20,15,65,1.2,1.3,16,5,1.7,400,4,30,550,90,1200,700,350,9,150,11,29,2.3,4,21,4700,1000,1600,900
female_10to12y,38,147,1900,55,65,1,10,280,27,1850,600,15,15,35,1,1,12,5,1.2,400,3.5,20,375,50,1200,1250,170,8,120,8,19,1.6,1.9,26,4400,1400,2100,700
female_13to15y,48,156,2050,65,70,1.1,11,300,29,2100,600,15,15,55,1.1,1,14,5,1.2,400,4,25,400,65,1200,1250,220,15,150,9,24,1.6,2.4,27,4800,1500,2300,795
female_16to18y,52,159,2100,65,70,1.1,11,300,29,2150,600,15,15,55,1.1,1,14,5,1.2,400,4,30,425,75,1200,1250,230,15,150,9,26,1.8,3,29,5000,1600,2400,890
female_19to29y,55,159,2250,60,65,1.1,12,360,32,2350,600,15,15,55,1.1,1.1,14,5,1.3,400,4,30,425,75,1000,700,330,18,150,8,24,1.8,3,30,4700,1500,2250,900
female_30to49y,56,158,2150,60,60,1.1,12,340,30,2350,600,15,15,55,1.1,1.1,14,5,1.3,400,4,30,425,75,1000,700,340,18,150,8,25,1.8,3,29,4700,1500,2250,900
female_50to64y,56,158,1800,60,50,1.1,11,280,25,2350,600,15,15,55,1.1,1.1,14,5,1.5,400,4,30,425,75,1200,700,340,8,150,8,25,1.8,3,24,4700,1400,2100,900
female_65to80y,53,157,1550,58,45,1.1,11,230,22,1550,600,20,20,55,1.1,1.1,14,5,1.5,400,4,30,425,75,1200,700,320,8,150,8,24,1.8,3,21,4700,1200,1900,900
female_80y_plus,53,157,1400,58,40,1.1,11,200,20,1400,600,20,20,55,1.1,1.1,14,5,1.5,400,4,30,425,75,1200,700,320,8,150,8,24,1.8,3,19,4700,1000,1600,900
add_pregnant_trimst1,,,180,1,2.3,0.3,2,25,3,300,300,0,0,0,0.3,0.3,4,1,0.6,200,0.5,0,25,10,200,0,0,0,70,2,5,0.2,0,5,0,0,0,100
add_pregnant_trimst2,,,300,10,2.3,0.3,2,40,4,300,300,0,0,0,0.3,0.3,4,1,0.6,200,0.5,0,25,10,200,0,0,9,70,4,5,0.2,0,5,0,0,0,100
add_pregnant_trimst3,,,300,30,2.3,0.3,2,40,4,300,300,0,0,0,0.3,0.3,4,1,0.6,200,0.5,0,25,10,200,0,0,9,70,4,5,0.2,0,5,0,0,0,100
add_breastfeeding_0to6m,,,330,20,2.2,0.2,2,45,5,800,350,0,4,0,0.4,0.5,3,2,0.6,100,1,5,125,45,200,0,0,0,140,5,10,0.8,0,20,400,0,0,400
add_breastfeeding_6to12m,,,400,15,2.2,0.2,2,55,6,650,350,0,4,0,0.4,0.5,3,2,0.6,100,1,5,125,45,200,0,0,0,140,5,+-10,0.8,0,20,400,0,0,400
